Title,Code,Department,Students,Class Hours,Tutorial Hours,Lab Hours
Data Structures,CS101,Computer Science,60,4;4,5,6
Database Systems,CS102,Computer Science,55,3;3,4,5
Operating Systems,CS201,Computer Science,50,2;2,3,4
Software Engineering,CS301,Software Engineering,40,1;1,2,3
Machine Learning,AI401,Artificial Intelligence,45,6;6,7,8
Deep Learning,AI402,Artificial Intelligence,50,3;3,4,5
Cybersecurity,CS501,Cybersecurity,48,5;5,6,7
Cloud Computing,CS601,Cloud Technologies,52,2;2,3,4
Computer Networks,CS701,Networking,46,7;7,8,9
Artificial Intelligence,AI501,Artificial Intelligence,60,9;9,10,11
Natural Language Processing,AI502,Artificial Intelligence,40,8;8,9,10
Circuit Analysis,EE101,Electrical Engineering,55,3;3,4,5
Electromagnetics,EE102,Electrical Engineering,50,2;2,3,4
Microprocessors,EE201,Electrical Engineering,45,5;5,6,7
Power Electronics,EE202,Electrical Engineering,48,6;6,7,8
Thermodynamics,ME101,Mechanical Engineering,60,4;4,5,6
Fluid Mechanics,ME102,Mechanical Engineering,55,3;3,4,5
Machine Design,ME103,Mechanical Engineering,50,2;2,3,4
Manufacturing Processes,ME104,Mechanical Engineering,40,1;1,2,3
Robotics Lab,ME201,Mechanical Engineering,45,6,6,7
Automobile Engineering Lab,ME202,Mechanical Engineering,50,3,3,4
